JCAT,Name,TDate,Program,Category,Result
S00973,,1965 Jan 19,P35,MET,F
S00978,[Tiros 9],1968 Jun 12,TOS,MET,U
S00980,,1965 Jan 28?,AFP-206,IMG,U
S00983,Cosmos 53,1965 Feb  9,DS-A1,EW,U
S00987,[OSO 2],1966 Jun  6,OSO,AST,U
S01000,,1965 Feb 11,Transtage,TECH,U
S01001,,1965 Feb 11,Transtage PL,TECH,S
S01002,,,LES,COM,U
S01085,[Pegasus 1],1968 Aug 29,Pegasus,SCI,S
S01086,[Ranger 8],1965 Feb 20,Ranger III,PLAN,S
S01088,[Apollo BP],1965 Feb 16,Apollo BPS,SS,S
S01089,Cosmos 54,1965?,Strela-1,COM,S
S01090,Cosmos 55,1965 Feb 21,Strela-1,COM,S
S01091,Cosmos 56,1965 Feb 21,Strela-1,COM,S
S01093,Cosmos 57,1965 Feb 22,Voskhod,SS,F
S01096,,1965 Mar 10,CORONA J,IMG,U
S01097,Cosmos 58,1965 Apr 21,Meteor A,MET,U
S01191,Cosmos 59,1965 Mar 15 0715?,Zenit-4,IMG,U
S01208,,1968?,Secor II,GEOD,U
S01244,,1968 Nov,POPPY,SIG,U
S01246,Cosmos 60,1965 Mar 12,E-6,PLAN,F
S01247,,1965 Mar 16?,AFP-206,IMG,U
S01248,,1965 Mar 11,NRL C,TECH,U
S01250,,1965 Mar?,Secor II,GEOD,U
S01267,Cosmos 61,1965?,Strela-1,COM,U
S01268,Cosmos 62,1965?,Strela-1,COM,U
S01269,Cosmos 63,1965?,Strela-1,COM,U
S01271,,1966 Jul,POPPY,SIG,U
S01272,,1965 Mar  9,NRL Cal,CAL,U
S01273,,1965 Jun 15,P35,MET,S
S01274,Voskhod,1965 Mar 19 0902,Voskhod,SS,U
S01291,,,POPPY,SIG,U
S01292,,1966 Aug,POPPY,SIG,U
S01293,,1965 Jun,OSCAR,COM,U
S01294,[Ranger 9],1965 Mar 24,Ranger III,PLAN,U
S01301,[Gemini GT-3],1965 Mar 23 1916,Gemini,SS,U
S01303,,1965 Apr  6,NNS N,NAV,U
S01305,Cosmos 64,1965 Apr  2 0818?,Zenit-2 A,IMG,U
S01307,,1965 Apr  1,CORONA J,IMG,U
S01310,,1970,SURCAL,CAL,U
S01314,,1965 May 16,SNAPSHOT,TECH,U
S01315,,,Secor II,GEOD,U
S01317,[Early Bird],1971 Apr,Int1,COM,U
S01320,Cosmos 65,1965 Apr 25 0800?,Zenit-4,IMG,U
S01324,Molniya 1,1965 Nov 26,Molniya-1,COM,U
S01327,,1965 May  1?,AFP-206,IMG,U
